timestamp,scan_id,path_string,start_currency,investment,profit,profit_benchmark,gold_cost,efficiency
2025-10-21T23:21:28.513393+00:00,150,Exalted Orb -> Perfect Chaos Orb -> Perfect Exalted Orb -> Divine Orb -> Exalted Orb,Exalted Orb,13251,1100,0.9167263564980827,1743520.0,5.25790559613932e-07
2025-10-21T23:37:38.556513+00:00,151,Exalted Orb -> Orb of Annulment -> Divine Orb -> Exalted Orb,Exalted Orb,13992,3450,2.9035282922484162,2146040.0,1.3529702578928708
2025-10-22T01:41:47.866607+00:00,156,Divine Orb → Exalted Orb → Omen of Light → Divine Orb,Divine Orb,17,17.0,3.6841641095951587,2331000.0,1.5805079835243065
2025-10-22T02:28:40.952920+00:00,157,Divine Orb → Exalted Orb → Perfect Chaos Orb → Omen of Light → Divine Orb,Divine Orb,12,12.0,6.213473637588624,1730800.0,3.5899431693948602,0.6
2025-10-22T02:41:18.242003+00:00,158,Perfect Chaos Orb → Divine Orb → Exalted Orb → Perfect Chaos Orb,Perfect Chaos Orb,5,19.156410978184375,4.118581711190128,2617700,1.5733589453299186,0.8
2025-10-22T06:16:09.322189+00:00,161,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,4,4.0,1.1105431440078037,599760.0,1.8516458983723552,0.15
2025-10-22T06:23:37.896826+00:00,162,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,5,5.0,0.9065621701806172,718200.0,1.262269799750233,0.2
2025-10-22T06:46:25.892200+00:00,164,Perfect Exalted Orb → Omen of Dextral Erasure → Perfect Exalted Orb,Perfect Exalted Orb,1,3.0,60.74206572769954,27000,2249.7061380629457,0.15
2025-10-23T01:15:16.895746+00:00,166,Divine Orb → Chaos Orb → Simulacrum Splinter → Divine Orb,Divine Orb,5,5.0,0.12049207040490018,27769.0,4.339085685653073,0.2
2025-10-23T01:29:39.871925+00:00,168,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,12,12.0,2.06764089310799,1730560.0,1.194781396257853,0.5
2025-10-23T01:45:24.156812+00:00,169,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,10,10.0,3.4004725737018138,1597000.0,2.1292877731382682,0.4
2025-10-23T02:29:37.847994+00:00,170,Divine Orb → Exalted Orb → Orb of Annulment → Divine Orb,Divine Orb,3,3.0,1.0257527479021071,488320.0,2.100574926077382,0.1
2025-10-23T02:51:12.973687+00:00,171,Divine Orb → Exalted Orb → Omen of Light → Divine Orb,Divine Orb,17,17.0,29.082163183401867,2404920.0,12.092777798596988,0.6
2025-10-23T02:56:29.047822+00:00,172,Divine Orb → Exalted Orb → Perfect Chaos Orb → Divine Orb,Divine Orb,29,29.0,4.090756326785481,4220400.0,0.9692816621138948,1.0
2025-10-23T03:01:39.515171+00:00,173,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,5,5.0,1.1479946750730132,786000.0,1.460553021721391,0.2
2025-10-23T03:14:36.511881+00:00,176,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,4,4.0,1.029019813052873,622680.0,1.6525660259730086,0.15
2025-10-23T03:20:22.323349+00:00,177,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,10,10.0,3.5416073901583083,1576600.0,2.2463575987303743,0.3
2025-10-23T05:27:39.624892+00:00,178,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,29,29.0,10.11113260692855,4565160.0,2.2148473672179176,0.8
2025-10-23T06:07:29.005001+00:00,180,Divine Orb → Exalted Orb → Orb of Annulment → Divine Orb,Divine Orb,11,11.0,3.1565783332334565,1791480.0,1.761994738000679,0.3
2025-10-23T06:47:06.848038+00:00,181,Divine Orb → Exalted Orb → Perfect Chaos Orb → Divine Orb,Divine Orb,17,17.0,5.303009957217416,2772800.0,1.9125108039589644,0.5
2025-10-23T07:07:47.997816+00:00,184,Divine Orb → Exalted Orb → Orb of Annulment → Divine Orb,Divine Orb,8,8.0,2.023994244005676,1351600.0,1.4974802042066264,0.25
2025-10-23T07:23:14.355170+00:00,185,Divine Orb → Exalted Orb → Perfect Exalted Orb → Divine Orb,Divine Orb,9,9.0,3.077608866456142,1497560.0,2.055082177980276,0.25
